
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [        1,    0.02]   PRO:         18.89621269   VIO:     0.000000   [     1]
 [     1000,   17.36]   PRO:          0.33256547   VIO:     0.000000   [    14]
 [     2000,   35.07]   PRO:          0.27644070   VIO:     0.000000   [    17]
 [     3000,   52.77]   PRO:          0.27224758   VIO:     0.000000   [    20]
 [     4000,   70.18]   PRO:          0.26942690   VIO:     0.000000   [    18]
 [     5000,   87.11]   PRO:          0.26738678   VIO:     0.000000   [    17]
 [     6000,  103.89]   PRO:          0.26626919   VIO:     0.000000   [    18]
 [     7000,  120.60]   PRO:          0.26604513   VIO:     0.000000   [    18]
 [     8000,  137.37]   PRO:          0.26595194   VIO:     0.000000   [    18]
 [     9000,  154.14]   PRO:          0.26592881   VIO:     0.000000   [    18]
 [    10000,  170.91]   PRO:          0.26591800   VIO:     0.000000   [    18]
 [    11000,  187.65]   PRO:          0.26590188   VIO:     0.000000   [    18]
 [    12000,  204.40]   PRO:          0.26590141   VIO:     0.000000   [    18]
 [    13000,  221.12]   PRO:          0.26590129   VIO:     0.000000   [    18]
 [    14000,  237.85]   PRO:          0.26590121   VIO:     0.000000   [    18]
 [    15000,  254.61]   PRO:          0.26590115   VIO:     0.000000   [    18]
 [    16000,  271.34]   PRO:          0.26590113   VIO:     0.000000   [    18]
 [    17000,  288.06]   PRO:          0.26590110   VIO:     0.000000   [    18]
 [    18000,  304.80]   PRO:          0.26590109   VIO:     0.000000   [    18]
 [    19000,  321.55]   PRO:          0.26590108   VIO:     0.000000   [    18]
 [    20000,  338.30]   PRO:          0.26590107   VIO:     0.000000   [    18]
 [    21000,  355.05]   PRO:          0.26590106   VIO:     0.000000   [    18]
 [    22000,  371.79]   PRO:          0.26590106   VIO:     0.000000   [    18]
 [    23000,  388.53]   PRO:          0.26590106   VIO:     0.000000   [    18]
 [    24000,  405.30]   PRO:          0.26590106   VIO:     0.000000   [    18]
 [    25000,  422.01]   PRO:          0.26590106   VIO:     0.000000   [    18]
 [    26000,  438.77]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    27000,  455.51]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    28000,  472.24]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    29000,  489.00]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    30000,  505.75]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    31000,  522.49]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    32000,  539.20]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    33000,  555.93]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    34000,  572.66]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    35000,  589.39]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    36000,  606.14]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    37000,  622.85]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    38000,  639.59]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    39000,  656.30]   PRO:          0.26590105   VIO:     0.000000   [    18]
 [    40000,  673.26]   PRO:          0.26590105   VIO:     0.000000   [    22]
 [    41000,  690.37]   PRO:          0.26590105   VIO:     0.000000   [    23]
 [    42000,  707.18]   PRO:          0.26590105   VIO:     0.000000   [    23]
 [    43000,  723.91]   PRO:          0.26590105   VIO:     0.000000   [    23]
 [    44000,  740.64]   PRO:          0.26590105   VIO:     0.000000   [    23]
 [    45000,  757.35]   PRO:          0.26590105   VIO:     0.000000   [    23]
