M,nu,mu 
1.00, 0.00, 90.00
1.01, 0.04, 81.93
1.02, 0.11, 78.64
1.03, 0.21, 76.14
1.04, 0.31, 74.06
1.05, 0.44, 72.25
1.06, 0.57, 70.63
1.07, 0.71, 69.16
1.08, 0.86, 67.81
1.09, 1.02, 66.55
1.10, 1.19, 65.38
1.11, 1.36, 64.28
1.12, 1.54, 63.23
1.13, 1.73, 62.25
1.14, 1.92, 61.31
1.15, 2.11, 60.41
1.16, 2.31, 59.55
1.17, 2.51, 58.73
1.18, 2.72, 57.94
1.19, 2.93, 57.18
1.20, 3.14, 56.44
1.21, 3.36, 55.74
1.22, 3.57, 55.05
1.23, 3.79, 54.39
1.24, 4.02, 53.75
1.25, 4.24, 53.13
1.26, 4.47, 52.53
1.27, 4.70, 51.94
1.28, 4.93, 51.38
1.29, 5.16, 50.82
1.30, 5.39, 50.28
1.31, 5.63, 49.76
1.32, 5.86, 49.25
1.33, 6.10, 48.75
1.34, 6.34, 48.27
1.35, 6.58, 47.79
1.36, 6.82, 47.33
1.37, 7.06, 46.88
1.38, 7.30, 46.44
1.39, 7.54, 46.01
1.40, 7.78, 45.58
1.41, 8.03, 45.17
1.42, 8.27, 44.77
1.43, 8.51, 44.37
1.44, 8.76, 43.98
1.45, 9.00, 43.60
1.46, 9.25, 43.23
1.47, 9.49, 42.86
1.48, 9.73, 42.51
1.49, 9.98, 42.16
1.50, 10.22, 41.81
1.51, 10.47, 41.47
1.52, 10.71, 41.14
1.53, 10.95, 40.81
1.54, 11.20, 40.49
1.55, 11.44, 40.18
1.56, 11.68, 39.87
1.57, 11.93, 39.56
1.58, 12.17, 39.27
1.59, 12.41, 38.97
1.60, 12.65, 38.68
1.61, 12.89, 38.40
1.62, 13.13, 38.12
1.63, 13.37, 37.84
1.64, 13.61, 37.57
1.65, 13.85, 37.31
1.66, 14.09, 37.04
1.67, 14.33, 36.78
1.68, 14.57, 36.53
1.69, 14.80, 36.28
1.70, 15.04, 36.03
1.71, 15.28, 35.79
1.72, 15.51, 35.55
1.73, 15.75, 35.31
1.74, 15.98, 35.08
1.75, 16.21, 34.85
1.76, 16.44, 34.62
1.77, 16.68, 34.40
1.78, 16.91, 34.18
1.79, 17.14, 33.96
1.80, 17.37, 33.75
1.81, 17.59, 33.54
1.82, 17.82, 33.33
1.83, 18.05, 33.12
1.84, 18.28, 32.92
1.85, 18.50, 32.72
1.86, 18.73, 32.52
1.87, 18.95, 32.33
1.88, 19.17, 32.13
1.89, 19.40, 31.94
1.90, 19.62, 31.76
1.91, 19.84, 31.57
1.92, 20.06, 31.39
1.93, 20.28, 31.21
1.94, 20.50, 31.03
1.95, 20.71, 30.85
1.96, 20.93, 30.68
1.97, 21.14, 30.51
1.98, 21.36, 30.33
1.99, 21.57, 30.17
2.00, 21.79, 30.00
2.01, 22.00, 29.84
2.02, 22.21, 29.67
2.03, 22.42, 29.51
2.04, 22.63, 29.35
2.05, 22.84, 29.20
2.06, 23.05, 29.04
2.07, 23.25, 28.89
2.08, 23.46, 28.74
2.09, 23.67, 28.59
2.10, 23.87, 28.44
2.11, 24.07, 28.29
2.12, 24.28, 28.14
2.13, 24.48, 28.00
2.14, 24.68, 27.86
2.15, 24.88, 27.72
2.16, 25.08, 27.58
2.17, 25.28, 27.44
2.18, 25.47, 27.30
2.19, 25.67, 27.17
2.20, 25.87, 27.04
2.21, 26.06, 26.90
2.22, 26.26, 26.77
2.23, 26.45, 26.64
2.24, 26.64, 26.51
2.25, 26.83, 26.39
2.26, 27.02, 26.26
2.27, 27.21, 26.14
2.28, 27.40, 26.01
2.29, 27.59, 25.89
2.30, 27.78, 25.77
2.31, 27.96, 25.65
2.32, 28.15, 25.53
2.33, 28.33, 25.42
2.34, 28.52, 25.30
2.35, 28.70, 25.18
2.36, 28.88, 25.07
2.37, 29.06, 24.96
2.38, 29.24, 24.85
2.39, 29.42, 24.73
2.40, 29.60, 24.62
2.41, 29.78, 24.52
2.42, 29.96, 24.41
2.43, 30.13, 24.30
2.44, 30.31, 24.19
2.45, 30.48, 24.09
2.46, 30.66, 23.99
2.47, 30.83, 23.88
2.48, 31.00, 23.78
2.49, 31.17, 23.68
2.50, 31.34, 23.58
2.51, 31.51, 23.48
2.52, 31.68, 23.38
2.53, 31.85, 23.28
2.54, 32.02, 23.18
2.55, 32.19, 23.09
2.56, 32.35, 22.99
2.57, 32.52, 22.90
2.58, 32.68, 22.81
2.59, 32.85, 22.71
2.60, 33.01, 22.62
2.61, 33.17, 22.53
2.62, 33.33, 22.44
2.63, 33.49, 22.35
2.64, 33.65, 22.26
2.65, 33.81, 22.17
2.66, 33.97, 22.08
2.67, 34.13, 22.00
2.68, 34.29, 21.91
2.69, 34.44, 21.82
2.70, 34.60, 21.74
2.71, 34.75, 21.65
2.72, 34.91, 21.57
2.73, 35.06, 21.49
2.74, 35.21, 21.41
2.75, 35.36, 21.32
2.76, 35.52, 21.24
2.77, 35.67, 21.16
2.78, 35.82, 21.08
2.79, 35.96, 21.00
2.80, 36.11, 20.92
2.81, 36.26, 20.85
2.82, 36.41, 20.77
2.83, 36.55, 20.69
2.84, 36.70, 20.62
2.85, 36.85, 20.54
2.86, 36.99, 20.47
2.87, 37.13, 20.39
2.88, 37.28, 20.32
2.89, 37.42, 20.24
2.90, 37.56, 20.17
2.91, 37.70, 20.10
2.92, 37.84, 20.03
2.93, 37.98, 19.96
2.94, 38.12, 19.89
2.95, 38.26, 19.81
2.96, 38.40, 19.75
2.97, 38.53, 19.68
2.98, 38.67, 19.61
2.99, 38.81, 19.54
3.00, 38.94, 19.47
